Sl. No.	Product ID	Product JSON	Product Name	Brand Name
1	42020324#Zoro	{u'Item ID': [u'42020324'], u'Product Type': [u'Headsets'], u'Product Segment': [u'Electronics'], u'Product Name': [u'LEWISBINS SN2618-10 BLUE CONTAINER STACK-N-NEST BLUE 10.5 HX1'], u'Product Long Description': [u'Stack and Nest Container Outside Length 26-1/8 In. Outside Width 18-3/4 In. Outside Height 10-1/2 In. Inside Length 23-1/2 In. Inside Width 17-1/2 In. Inside Height 10 In. Volume Capacity 2.1 cu. ft. Load Capacity 70 lb. Color Blue Material High Density Polyethylene Finish Smooth No. of Divider Slots Long 0 No. of Divider Slots Short 0 Use Lid Number Mfr. No. CSN2618-1 Standards FDA Approved<br><b>Features</b><ul><li>Capacity : 2.1 cu. ft.</li><li>Color : Blue</li><li>Finish : Smooth</li><li>Item : Stack and Nest Container</li><li>Material : High Density Polyethylene</li><li>Load Capacity : 70 lb.</li><li>Use Lid Number : Mfr. No. CSN2618-1</li><li>Standards : FDA Approved</li><li>Inside Width : 17-1/2</li><li>Inside Length : 23-1/2</li><li>Inside Height : 10</li><li>Outside Width : 18-3/4</li><li>No. of Divider Slots Short : 0</li><li>No. of Divider Slots Long : 0</li><li>Green Certification or Other Recognition : RoHS Compliant</li><li>Outside Height : 10-1/2</li><li>Outside Length : 26-1/8</li><li>Volume Capacity : 2.1 cu. ft.</li></ul>']}	LEWISBINS SN2618-10 BLUE CONTAINER STACK-N-NEST BLUE 10.5 HX1	LEWISBINS
2	23141197#UnbeatableSale.com	{u'Item ID': [u'23141197'], u'Product Type': [u'Electronics Carrying Cases'], u'Product Segment': [u'Electronics'], u'Product Name': [u'The Joy Factory CSA111 SmartSuit3 iPad 3 Case Bronze'], u'Product Long Description': [u'SmartSuit3 - Ultra Slim Snap On Stand/Case with Wake up/Sleep Cover for The new iPad (3rd Gen-) & iPad2 - Bronze SKU: DHCSA111']}	The Joy Factory CSA111 SmartSuit3 iPad 3 Case Bronze	The Joy Factory
3	20927087	{u'Category': [u'Headphones'], u'Product Segment': [u'Electronics'], u'Multipack Indicator': [u'N'], u'Country of Origin: Components': [u'USA or Imported'], u'GTIN': [u'00748249653112'], u'Composite Wood Code': [u'No'], u'Type': [u'In-Ear'], u'Product Short Description': [u'<li>24k gold-plated 3.5mm jack is compatible with most audio devices<li>Lightweight and durable<li>Noise isolation for better sound'], u'Manufacturer Part Number': [u'NZ1667'], u'Has Mercury': [u'N'], u'Product Name': [u'BellO Digital In-Ear Headphones, Assorted Colors'], u'Battery Type': [u'Does Not Contain a Battery'], u'Product Type': [u'Headphones'], u'Actual Color': [u'Black/Chrome'], u'UPC': [u'748249653112'], u'Assembled Product Width': [u'5.1'], u'Connector Type': [u'3.5 mm'], u'Warranty Length': [u'1 year'], u'Assembled Product Height': [u'8.0'], u'Product Long Description': [u'<br><b>BellO Digital In-Ear Headphones:</b><ul><li>24k gold-plated 3.5mm jack is compatible with most audio devices<li>Lightweight and durable<li>Noise isolation for better sound<li>Tangle resistant cable<li>Microphone/volume control<li>Includes slim hard case and 3 sizes of ear buds<li>Color: Assorted Colors</ul>'], u'Features': [u'Microphone Included'], u'Color': [u'Other'], u'Assembled Product Length': [u'7.1'], u'Warranty Information': [u'1 year manufacturer warranty'], u'CPSC-Regulated Indicator': [u'N']}	BellO Digital In-Ear Headphones, Assorted Colors	BellO Digital
4	42458571	{u'Category': [u'Switches'], u'Product Short Description': [u'Corlink 108873241-COR Avaya Compatible 1000BASE-SX SFP 850nm 550m MMF LC'], u'Warranty Information': [u'Y'], u'Product Segment': [u'Electronics'], u'Manufacturer Part Number': [u'108873241-COR'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'849171035219'], u'GTIN': [u'00849171035219'], u'Product Name': [u'Corlink 108873241-COR Avaya Compatible 1000BASE-SX SFP 850nm 550m MMF LC'], u'Product Type': [u'Network Switches'], u'Condition': [u'New'], u'Product Long Description': [u'Each 108873241-COR transceiver operates at 1 Gbps over Multimode Fiber 850nm with a maximum reach of 550 meters. Corlink OEM Compatible Copper and Optical Transceivers are 100% Tested, Serialized and Individually Programmed supporting Identical Functionality and System Recognition. Corlink Transceivers are MSA, IEEE and RoHS Compliant. All Corlink OEM compatible transceivers are certified for compatibility, reliability, and performance through our strict quality control and testing procedures. Corlink transceivers are built using the highest quality grade components and lasers. Our test facility utilizes an extensive array of network switches, routers, and devices for Corlink that guarantees 100% compatibility and reliability in all of todays most popular network platforms. All Corlink Transceivers are backed by a Lifetime Replacement Warranty.']}	Corlink 108873241-COR Avaya Compatible 1000BASE-SX SFP 850nm 550m MMF LC	Corlink
5	40500294#Monoprice Inc	{u'Item ID': [u'40500294'], u'Product Type': [u'Computer Cables'], u'Product Segment': [u'Electronics'], u'Product Name': [u'1000FT 24AWG Cat6 550MHz UTP Stranded In-Wall Rated (CM) Bulk Ethernet Bare Copper Cable - Black'], u'Product Long Description': [u'Avoid having excess Ethernet cable lying around by building your own cables to the exact length needed using this Bulk Ethernet Copper Cable from Monoprice!<br><br>This 1000 foot roll of unshielded (UTP) Cat6 cable uses stranded conductors and features 550MHz bandwidth capacity. Stranded conductors are more flexible and less prone to breakage than solid conductors making stranded cables well suited for less permanent runs and for connecting client computers. This cable carries a CM fire safety rating which means that it is safe for use within the walls of commercial buildings.<br><br>Monoprice Cat5e and Cat6 cables are made of 100% bare copper wire as opposed to copper clad aluminum (CCA) wire and are therefore fully compliant with UL Code 444 and National Electrical Code TIA-568-C.2 fire and safety standards which require pure bare copper wire in Cat5e and Cat6 communications cables.<br><br><br>*** 30-day easy returns. No restocking fee. Free lifetime technical support. Limited lifetime warranty. ***']}	1000FT 24AWG Cat6 550MHz UTP Stranded In-Wall Rated (CM) Bulk Ethernet Bare Copper Cable - Black	
6	40871590	{u'Product Short Description': [u'Tripp Lite Internet Office 550VA Tower UPS - 550 VA/300 W - 120 V AC - 3.50 Minute - Tower - 3.50 Minute - 8 x NEMA 5-15R - Black Out, Brownout'], u'Category': [u'UPS'], u'Product Segment': [u'Electronics'], u'Assembled Product Length': [u'6.0'], u'Manufacturer Part Number': [u'INTERNET550U'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'62OKdVe31465'], u'GTIN': [u'II62OKdVe31465'], u'Assembled Product Width': [u'11.3'], u'Product Name': [u'Tripp Lite Internet Office 550VA Tower UPS - 550 VA/300 W - 120 V AC - 3.50 Minute - Tower - 3.50 Minute - 8 x NEMA 5-15'], u'Energy Star': [u'Y'], u'Assembled Product Height': [u'3.5'], u'Product Type': [u'Uninterruptible Power Supplies'], u'Warranty Information': [u'Y'], u'Product Long Description': [u'<p>UPS offers standby protection for PCs and peripherals to prevent data loss and system downtime by providing battery-supported AC output during brownouts and blackouts. Two of the 8 output receptacles are widely spaced to accommodate large transformer plugs. Four outlets with full battery support and surge suppression protect computers, monitors and other vital system components from loss of power. Four additional outlets with surge suppression-only are ideal for printers and other accessories not requiring battery support. Single-line, telephone suppression jacks protect modem or other peripherals with a standard dialup or DSL phone line connection. HID-compliant USB interface enables integration with built-in power management and auto-shutdown features of Windows and Mac OS X. Audible alarm and front panel LEDs offer status information regarding line and battery power operation. 550VA/300 watt power handling ability supports entry-level PCs for up to 17 minutes during power failures.</p><p><b>General Information</b><ul><li>Manufacturer: Tripp Lite</li><li>Manufacturer Part Number: INTERNET550U</li><li>Brand Name: Tripp Lite</li><li>Product Line: Internet Office</li><li>Product Model: INTERNET550U</li><li>Product Name: Internet Office 550VA Tower UPS</li><li>Packaged Quantity: 1 Each</li><li>Product Type: Standby UPS</li></ul></p><p><b>Technical Information</b><ul><li>Receptacles: 8 x NEMA 5-15R</li><li>Switching Time: 4 ms</li></ul></p><p><b>Power Description</b><ul><li>Load Capacity (VA): 550 VA</li><li>Load Capacity (Watt): 300 W</li><li>Input Voltage: 110 V AC</li><li>Output Voltage: 120 V AC</li></ul></p><p><b>Battery Information</b><ul><li>Backup/Run Time (Full Load): 3.50 Minute</li><li>Maximum Battery Recharge Time: 4 Hour</li></ul></p><p><b>Physical Characteristics</b><ul><li>Height: 3.5</li><li>Width: 11.3</li><li>Depth: 6</li><li>Form Factor: Tower</li><li>Weight (Approximate): 11.02 lb</li></ul></p><p><b>Miscellaneous</b><ul><li>Package Contents: <ul><li>Internet Office 550VA Tower UPS</li><li>INTERNET550U UPS System</li><li>USB cable</li><li>Instruction manual with warranty information</li></ul></li><li>Green Compliant: Yes</li><li>Green Compliance Certificate/Authority: ENERGY STAR</li><li>Country of Origin: China</li></ul></p><p><b>Warranty</b><ul><li>Limited Warranty: 3 Year</li></ul></p>']}	Tripp Lite Internet Office 550VA Tower UPS - 550 VA/300 W - 120 V AC - 3.50 Minute - Tower - 3.50 Minute - 8 x NEMA 5-15	Tripp Lite
7	41192909	{u'Product Short Description': [u'ZyXEL ZyWALL USG 20W Wireless Unified Security Gateway - 5 Port Gigabit Ethernet IEEE 802.11n - USB'], u'Category': [u'Routers'], u'Product Segment': [u'Electronics'], u'Assembled Product Length': [u'5.5'], u'Manufacturer Part Number': [u'ZWUSG20W'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'64OLHUxz0206'], u'GTIN': [u'II64OLHUxz0206'], u'Assembled Product Width': [u'8.5'], u'Product Name': [u'ZyXEL ZyWALL USG 20W Wireless Unified Security Gateway - 5 Port Gigabit Ethernet IEEE 802.11n - USB'], u'Assembled Product Height': [u'1.3'], u'Product Type': [u'Network Routers'], u'Warranty Information': [u'Y'], u'Product Long Description': [u'<p>The ZyWALL USG (Unified Security Gateway) Series is the third generation ZyWALL featuring an all-new platform. It provides greater performance protection, as well as a deep packet inspection security solution for small businesses to enterprises alike. It embodies a Stateful Packet Inspection (SPI) firewall, Anti-Virus, Intrusion Detection and Prevention (IDP), Content Filtering, Anti-Spam, and VPN (IPSec/SSL/L2TP) in one box. This multilayered security safeguards your organizations customer and company records, intellectual property, and critical resources from external and internal threats.</p><p><b>General Information</b><ul><li>Manufacturer: ZyXEL Communications Corp.</li><li>Manufacturer Part Number: ZWUSG20W</li><li>Brand Name: ZyXEL</li><li>Product Line: ZyWALL</li><li>Product Series: USG</li><li>Product Model: USG 20W</li><li>Product Name: ZyWALL USG 20W Wireless Unified Security Gateway</li><li>Product Type: Network Security/Firewall Appliance</li></ul></p><p><b>Technical Information</b><ul><li>Firewall Protection: <ul><li>Anti-intrusion</li><li>Anti-phishing</li><li>Antivirus</li><li>Anti-spyware</li><li>Anti-spam</li><li>Dead Peer Detection</li><li>Stateful Packet Filtering</li><li>Content Filtering</li><li>Worm Scanning</li><li>P2P Blocking</li><li>Instant Messenger Blocking</li><li>Trojan Horse</li><li>Adware Protection</li><li>Keylogger Protection</li><li>Keyword Filtering</li><li>Web Content Filtering</li><li>Traffic Anomaly Detection</li><li>Denial of Service (DoS)</li><li>Distributed Denial of Service (DDoS)</li><li>Access Control</li><li>Java and ActiveX Blocking</li><li>FloodGuard</li><li>URL Filtering</li><li>Cookie Blocking</li></ul></li><li>Encryption Standard: <ul><li>DES</li><li>3DES</li><li>AES</li><li>MD5</li><li>SHA-1</li></ul></li></ul></p><p><b>Interfaces/Ports</b><ul><li>Total Number of Ports: 5</li><li>USB: Yes</li></ul></p><p><b>Network & Communication</b><ul><li>Ethernet Technology: Gigabit Ethernet</li><li>Network Standard: 10/100/1000Base-T</li></ul></p><p><b>Wireless Specifications</b><ul><li>Wireless LAN Standard: IEEE 802.11n</li></ul></p><p><b>Power Description</b><ul><li>Power Source: Power Supply</li></ul></p><p><b>Physical Characteristics</b><ul><li>Height: 1.3</li><li>Width: 8.5</li><li>Depth: 5.5</li><li>Weight (Approximate): 14.82 oz</li></ul></p><p><b>Miscellaneous</b><ul><li>Green Compliant: Yes</li><li>Green Compliance Certificate/Authority: RoHS</li></ul></p><p><b>Warranty</b><ul><li>Limited Warranty: 2 Year</li></ul></p>']}	ZyXEL ZyWALL USG 20W Wireless Unified Security Gateway - 5 Port Gigabit Ethernet IEEE 802.11n - USB	ZyXEL ZyWALL
8	32745456	{u'Product Short Description': [u'QNAP 2-Bay NAS Server - Tower, Intel Atom Dual Core Processor 1.86 GHz, 512MB, Hot-swappable, Gigabit Ethernet Port, USB 3.0 and USB 2.0 Ports, Black - TS-269L-US-TS-269L-US'], u'Product Segment': [u'Electronics'], u'Color': [u'Multicolor'], u'Actual Color': [u'Multicolor'], u'Manufacturer Part Number': [u'TS-269L-US'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'54NKVKeI4542'], u'GTIN': [u'II54NKVKeI4542'], u'Product Name': [u'QNAP 2-Bay NAS Server - Tower, Intel Atom Dual Core Processor 1.86 GHz, 512MB, Hot-swappable, Gigabit Ethernet Port, USB'], u'Product Type': [u'Hard Drives'], u'Warranty Information': [u'Y'], u'Product Long Description': [u'The QNAP 2-Bay NAS Server is the best choice for reliable data management.This server has a 1.86 GHz Intel Atom Dual-core processor that provides efficient processing power. Its 512MB DOM ensures outstanding system responsiveness and performance. With 2x hot-swappable trays, you can easily integrate and replace hard-drives into the server. This server has two Gigabit Ethernet ports that allow you to have a stable Internet connection for downloading and uploading data. Plus, the 2x USB 3.0 and 3x USB 2.0 ports give your even more optional storage capacity using external devices. Get the QNAP 2-Bay NAS Server today!']}	QNAP 2-Bay NAS Server - Tower, Intel Atom Dual Core Processor 1.86 GHz, 512MB, Hot-swappable, Gigabit Ethernet Port, USB	QNAP
9	41180131#TEKENVY	{u'Item ID': [u'41180131'], u'Product Type': [u'Computer Scanners'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Penpower WorldCard Pro Card Scanner - 600 dpi Optical - USB'], u'Product Long Description': [u'<p>WorldCard Pro is an ergonomic and creative business card scanner with lighting and tilting open entry design. The entry design makes you put the business cards into the scanner through at a proper angle and scan the information easily and intuitively. After precise recognition the information on the business card will immediately become your personal database of social network. Humanized design on USB cable gathering in the backside of device simplifies the extra cable placement. On-the-go professionals find it a great companion to bring along on business trips to file contact info into a database before returning to the office.</p><p><b>General Information</b><ul><li>Manufacturer: Penpower Inc</li><li>Manufacturer Part Number: WCUPRO1EN</li><li>Brand Name: Penpower</li><li>Product Line: WorldCard Pro</li><li>Product Name: WorldCard Pro Card Scanner</li><li>Product Type: Card Scanner</li></ul></p><p><b>Technical Information</b><ul><li>Large Format: No</li><li>Optical Resolution: 600 dpi</li><li>Scan Color: Color</li><li>Media Size: A8 2.91 x 2.05</li></ul></p><p><b>Interfaces/Ports</b><ul><li>USB: Yes</li></ul></p><p><b>Physical Characteristics</b><ul><li>Height: 1.1</li><li>Width: 3.9</li><li>Depth: 4.2</li><li>Weight (Approximate): 5.93 oz</li></ul></p><p><b>Miscellaneous</b><ul><li>Package Contents: <ul><li>WorldCard Pro Card Scanner</li><li>USB Cable</li><li>Software CD</li><li>User Manual</li><li>Registration Card</li><li>Calibration Card</li></ul></li><li>Green Compliant: Yes</li><li>Green Compliance Certificate/Authority: RoHS</li></ul></p><p><b>Warranty</b><ul><li>Limited Warranty: 1 Year</li></ul></p>']}	Penpower WorldCard Pro Card Scanner - 600 dpi Optical - USB	Penpower WorldCard
10	40898779	{u'Product Short Description': [u'Targus AMU81USZ Full-Size Mouse - Optical - Cable - Matte Black - USB - 1000 dpi - Scroll Wheel - 3 Button(s) - Symmetrical'], u'Category': [u'Mice'], u'Product Segment': [u'Electronics'], u'Color': [u'Black'], u'Actual Color': [u'Black'], u'Manufacturer Part Number': [u'AMU81USZ'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'65OKdVb01404'], u'GTIN': [u'II65OKdVb01404'], u'Product Name': [u'Targus AMU81USZ Full-Size Mouse - Optical - Cable - Matte Black - USB - 1000 dpi - Scroll Wheel - 3 Button(s) - Symmetri'], u'E-Waste Recycling Compliance Required': [u'N'], u'Number of Batteries': [u'0'], u'Product Type': [u'Computer Mice'], u'Warranty Information': [u'Y'], u'Product Long Description': [u'<p>The Targus 3-Button USB Full-Size Optical Mouse features an ergonomic design to provide comfort while in use. Designed for both left and right-handed users and sized for comfortable desktop use, this mouse features an integrated scroll wheel making it easy to navigate through numerous web pages or lengthy spreadsheets at a quick pace. Featuring a 6ft. USB connection and a 1,000 DPI optical sensor, this cost effective mouse is easy to use - simply plug and play. No drivers are required.</p><p><b>General Information</b><ul><li>Manufacturer: Targus Group International</li><li>Manufacturer Part Number: AMU81USZ</li><li>Brand Name: Targus</li><li>Product Model: AMU81USZ</li><li>Product Name: AMU81USZ Full-Size Mouse</li><li>Product Type: Mouse</li></ul></p><p><b>Pointing Device</b><ul><li>Pointing Device Connectivity Technology: Cable</li><li>Movement Detection: Optical</li><li>Movement Resolution: 1000 dpi</li><li>Number of Total Buttons: 3</li><li>Scroller Type: Scroll Wheel</li><li>Ergonomic Fit: Symmetrical</li></ul></p><p><b>Interfaces/Ports</b><ul><li>Pointing Device Host Interface: USB</li></ul></p><p><b>Physical Characteristics</b><ul><li>Color: Matte Black</li><li>Weight (Approximate): 3.30 oz</li></ul></p><p><b>Miscellaneous</b><ul><li>Green Compliant: Yes</li><li>Green Compliance Certificate/Authority: RoHS</li></ul></p><p><b>Warranty</b><ul><li>Limited Warranty: 1 Year</li></ul></p>']}	Targus AMU81USZ Full-Size Mouse - Optical - Cable - Matte Black - USB - 1000 dpi - Scroll Wheel - 3 Button(s) - Symmetri	Targus
